"date","close","volume","open","high","low"

"2014/12/05","115.0000","38230970.0000","115.9900","116.0800","114.6400"
"2014/12/04","115.4900","42068020.0000","115.7700","117.2000","115.2900"
"2014/12/03","115.9300","42956200.0000","115.7500","116.3500","115.1100"
"2014/12/02","114.6300","59205320.0000","113.5000","115.7500","112.7500"
"2014/12/01","115.0700","83657780.0000","118.8100","119.2500","111.2700"
"2014/11/28","118.9300","24814400.0000","119.2700","119.4000","118.0500"
"2014/11/26","119.0000","40756950.0000","117.9400","119.1000","117.8300"
"2014/11/25","117.6000","68719930.0000","119.0700","119.7500","117.4500"
"2014/11/24","118.6250","46867340.0000","116.8500","118.7700","116.6200"
"2014/11/21","116.4700","56759320.0000","117.5100","117.5700","116.0300"
"2014/11/20","116.3100","43148650.0000","114.9100","116.8600","114.8500"
"2014/11/19","114.6700","41815550.0000","115.4400","115.7400","113.8000"
"2014/11/18","115.4700","44163250.0000","113.9400","115.6900","113.8900"
"2014/11/17","113.9900","46687710.0000","114.2700","117.2800","113.3000"
"2014/11/14","114.1800","43789060.0000","113.1500","114.1900","113.0500"
"2014/11/13","112.8200","59418180.0000","111.8000","113.4500","111.6000"
"2014/11/12","111.2500","46372630.0000","109.3800","111.4300","109.3700"
"2014/11/11","109.7000","27330410.0000","108.7000","109.7500","108.4000"
"2014/11/10","108.8300","27066060.0000","109.0200","109.3300","108.6700"
"2014/11/07","109.0100","33655280.0000","108.7500","109.3200","108.5500"
"2014/11/06","108.7000","34733740.0000","108.6000","108.7900","107.8000"
"2014/11/05","108.8600","37365530.0000","109.1000","109.3000","108.1250"
"2014/11/04","108.6000","41423660.0000","109.3600","109.4900","107.7200"
"2014/11/03","109.4000","52154490.0000","108.2200","110.3000","108.0100"
"2014/10/31","108.0000","44550790.0000","108.0100","108.0400","107.2100"
"2014/10/30","106.9800","40572000.0000","106.9590","107.3500","105.9000"
"2014/10/29","107.3400","52545580.0000","106.6500","107.3700","106.3600"
"2014/10/28","106.7400","47689070.0000","105.4000","106.7400","105.3500"
"2014/10/27","105.1100","34086120.0000","104.8500","105.4800","104.7000"
"2014/10/24","105.2200","46937880.0000","105.1800","105.4900","104.5300"
"2014/10/23","104.8300","70760150.0000","104.0800","105.0510","103.6300"
"2014/10/22","102.9900","68140010.0000","102.8400","104.1100","102.6000"
"2014/10/21","102.4700","93786680.0000","103.0200","103.0200","101.2700"
"2014/10/20","99.7600","75705040.0000","98.3150","99.9600","98.2200"
"2014/10/17","97.6700","67723910.0000","97.5000","99.0000","96.8100"
"2014/10/16","96.2600","72017830.0000","95.5500","97.7200","95.4100"
"2014/10/15","97.5400","99942790.0000","97.9700","99.1500","95.1800"
"2014/10/14","98.7500","63287170.0000","100.3900","100.5200","98.5700"
"2014/10/13","99.8100","53437060.0000","101.3300","101.7800","99.8100"
"2014/10/10","100.7300","66249770.0000","100.6900","102.0300","100.3000"
"2014/10/09","101.0200","77283330.0000","101.5400","102.3800","100.6100"
"2014/10/08","100.8000","57329820.0000","98.7600","101.1100","98.3100"
"2014/10/07","98.7500","42003200.0000","99.4300","100.1200","98.7300"
"2014/10/06","99.6200","36780620.0000","99.9500","100.6500","99.4200"
"2014/10/03","99.6200","43419580.0000","99.4400","100.2100","99.0400"
"2014/10/02","99.9000","47697150.0000","99.2700","100.2200","98.0400"
"2014/10/01","99.1800","51400260.0000","100.5900","100.6900","98.7000"
"2014/09/30","100.7500","55119980.0000","100.8100","101.5400","100.5300"
"2014/09/29","100.1100","49263260.0000","98.6500","100.4350","98.6300"
"2014/09/26","100.7500","62276770.0000","98.5300","100.7500","98.4000"
"2014/09/25","97.8700","99689300.0000","100.5100","100.7100","97.7200"
"2014/09/24","101.7500","59974260.0000","102.1600","102.8500","101.2000"
"2014/09/23","102.6400","63255860.0000","100.6000","102.9400","100.5400"
"2014/09/22","101.0600","52421660.0000","101.8000","102.1400","100.5800"
"2014/09/19","100.9600","70747430.0000","102.2900","102.3500","100.8800"
"2014/09/18","101.7900","36971170.0000","101.9300","102.3500","101.5600"
"2014/09/17","101.5800","60783090.0000","101.2700","101.8000","100.5922"
"2014/09/16","100.8600","66754370.0000","99.8000","101.2600","98.8900"
"2014/09/15","101.6300","61169670.0000","102.8100","103.0500","101.4400"
"2014/09/12","101.6600","62826040.0000","101.2100","102.1900","101.0800"
"2014/09/11","101.4300","62077230.0000","100.4100","101.4400","99.6200"
"2014/09/10","101.0000","100352500.0000","98.0100","101.1100","97.7600"
"2014/09/09","97.9900","189419500.0000","99.0800","103.0800","96.1400"
"2014/09/08","98.3600","46176570.0000","99.3000","99.3100","98.0500"
"2014/09/05","98.9700","58280030.0000","98.8000","99.3900","98.3100"
"2014/09/04","98.1200","85537710.0000","98.8500","100.0900","97.7900"
"2014/09/03","98.9400","125000400.0000","103.1000","103.2000","98.5800"
"2014/09/02","103.3000","53227770.0000","103.0600","103.7400","102.7200"
"2014/08/29","102.5000","44516120.0000","102.8600","102.9000","102.2000"
"2014/08/28","102.2500","68368740.0000","101.5900","102.7800","101.5600"
"2014/08/27","102.1300","46807000.0000","101.0200","102.5700","100.7000"
"2014/08/26","100.8890","33079170.0000","101.4200","101.5000","100.8600"
"2014/08/25","101.5400","40087220.0000","101.7900","102.1700","101.2800"
"2014/08/22","101.3200","44028280.0000","100.2900","101.4700","100.1900"
"2014/08/21","100.5800","33377530.0000","100.5700","100.9400","100.1100"
"2014/08/20","100.5700","52565000.0000","100.4400","101.0900","99.9500"
"2014/08/19","100.5300","69189840.0000","99.4100","100.6800","99.3200"
"2014/08/18","99.1600","47285630.0000","98.4900","99.3700","97.9800"
"2014/08/15","97.9800","48938120.0000","97.9000","98.1900","96.8600"
"2014/08/14","97.5000","28056530.0000","97.3300","97.5700","96.8000"
"2014/08/13","97.2400","31866630.0000","96.1500","97.2400","96.0400"
"2014/08/12","95.9700","33485870.0000","96.0400","96.8800","95.6100"
"2014/08/11","95.9900","36459430.0000","95.2700","96.0800","94.8355"
"2014/08/08","94.7400","41783300.0000","94.2600","94.8200","93.2800"
"2014/08/07","94.4800","46553350.0000","94.9300","95.9500","94.1000"
"2014/08/06","94.9600","38463700.0000","94.7500","95.4800","94.7100"
"2014/08/05","95.1200","55861030.0000","95.3600","95.6800","94.3600"
"2014/08/04","95.5900","39860740.0000","96.3700","96.5800","95.1700"
"2014/08/01","96.1300","48379730.0000","94.9000","96.6200","94.8100"
"2014/07/31","95.6000","56625420.0000","97.1600","97.4500","95.3300"
"2014/07/30","98.1500","32978480.0000","98.4400","98.7000","97.6700"
"2014/07/29","98.3800","42957960.0000","99.3300","99.4400","98.2500"
"2014/07/28","99.0200","54926940.0000","97.8200","99.2400","97.5500"
"2014/07/25","97.6710","43384590.0000","96.8500","97.8400","96.6400"
"2014/07/24","97.0300","45609040.0000","97.0350","97.3200","96.4200"
"2014/07/23","97.1900","90937230.0000","95.4200","97.8800","95.1700"
"2014/07/22","94.7200","54297530.0000","94.6800","94.8900","94.1200"
"2014/07/21","93.9390","38792960.0000","94.9900","95.0000","93.7200"
"2014/07/18","94.4300","49838110.0000","93.6200","94.7400","93.0200"
"2014/07/17","93.0899","57111160.0000","95.0300","95.2790","92.5700"
"2014/07/16","94.7800","53323940.0000","96.9700","97.1000","94.7400"
"2014/07/15","95.3200","45187420.0000","96.8000","96.8500","95.0300"
"2014/07/14","96.4500","42643760.0000","95.8600","96.8900","95.6500"
"2014/07/11","95.2200","33960300.0000","95.3600","95.8900","94.8625"
"2014/07/10","95.0350","39633800.0000","93.7600","95.5500","93.5200"
"2014/07/09","95.3900","36267350.0000","95.4400","95.9500","94.7600"
"2014/07/08","95.3500","65111960.0000","96.2700","96.8000","93.9200"
"2014/07/07","95.9680","54809030.0000","94.1400","95.9900","94.1000"
"2014/07/03","94.0300","22891750.0000","93.6700","94.1000","93.2000"
"2014/07/02","93.4800","28414310.0000","93.8650","94.0600","93.0900"
"2014/07/01","93.5200","38156280.0000","93.5200","94.0700","93.1300"
"2014/06/30","92.9300","49474230.0000","92.1000","93.7250","92.0900"
"2014/06/27","91.9800","61758200.0000","90.8200","92.0000","90.7700"
"2014/06/26","90.9000","32528680.0000","90.3700","91.0500","89.8000"
"2014/06/25","90.3600","36835900.0000","90.2100","90.7000","89.6500"
"2014/06/24","90.2800","38977670.0000","90.7500","91.7400","90.1900"
"2014/06/23","90.8300","43611710.0000","91.3200","91.6200","90.6000"
"2014/06/20","90.9100","100478600.0000","91.8500","92.5500","90.9000"
"2014/06/19","91.8600","35476080.0000","92.2900","92.3000","91.3389"
"2014/06/18","92.1800","33314720.0000","92.2700","92.2900","91.3500"
"2014/06/17","92.0800","29684620.0000","92.3100","92.7000","91.8000"
"2014/06/16","92.2000","35371460.0000","91.5100","92.7500","91.4500"
"2014/06/13","91.2800","54406640.0000","92.2000","92.4400","90.8800"
"2014/06/12","92.2900","54628650.0000","94.0400","94.1200","91.9000"
"2014/06/11","93.8600","45528740.0000","94.1300","94.7600","93.4700"
"2014/06/10","94.2500","62563070.0000","94.7300","95.0500","93.5700"
"2014/06/09","93.7000","75295450.0000","92.7000","93.8800","91.7500"
"2014/06/06","92.2243","87403076.0000","92.8428","93.0371","92.0671"
"2014/06/05","92.4785","75796583.0000","92.3143","92.7671","91.8014"
"2014/06/04","92.1171","83735285.0000","91.0628","92.5557","90.8728"
"2014/06/03","91.0771","73043412.0000","89.7800","91.2485","89.7500"
"2014/06/02","89.8071","92179668.0000","90.5657","90.6900","88.9285"
"2014/05/30","90.4285","140860202.0000","91.1400","92.0243","89.8428"
"2014/05/29","90.7685","93737728.0000","89.6928","90.9814","89.6814"
"2014/05/28","89.1443","78793704.0000","89.4314","89.9757","89.1114"
"2014/05/27","89.3757","86840486.0000","87.9828","89.4085","87.9471"
"2014/05/23","87.7328","57918367.0000","86.7500","87.8184","86.6385"
"2014/05/22","86.7528","50142667.0000","86.6571","87.1214","86.3000"
"2014/05/21","86.6157","49184983.0000","86.2614","86.6714","86.0085"
"2014/05/20","86.3871","58232373.0000","86.3585","86.6285","85.8185"
"2014/05/19","86.3700","78819884.0000","85.4071","86.7614","85.3328"
"2014/05/16","85.3585","68960136.0000","84.0900","85.3614","83.6285"
"2014/05/15","84.1171","57427744.0000","84.9571","85.2285","84.0057"
"2014/05/14","84.8385","41505203.0000","84.6328","85.3428","84.5343"
"2014/05/13","84.8228","39854512.0000","84.5714","84.9343","84.3857"
"2014/05/12","84.6900","53184042.0000","83.9271","84.8085","83.9143"
"2014/05/09","83.6489","72767192.0000","83.5057","83.7500","82.9043"
"2014/05/08","83.9985","57243511.0000","84.0357","84.9157","83.7714"
"2014/05/07","84.6185","70532231.0000","85.0357","85.3271","83.9614"
"2014/05/06","84.9157","93468228.0000","85.9714","86.3442","84.9157"
"2014/05/05","85.8514","71523851.0000","84.3057","85.8571","84.2857"
"2014/05/02","84.6543","47673150.0000","84.6200","84.8857","84.2443"
"2014/05/01","84.4971","60958860.0000","84.5714","84.9714","83.7657"
"2014/04/30","84.2985","114029614.0000","84.6628","85.6328","84.2571"
"2014/04/29","84.6185","84049445.0000","84.8200","85.1400","84.2157"
"2014/04/28","84.8700","167001640.0000","81.8285","85.1071","81.7928"
"2014/04/25","81.7057","97435199.0000","80.6471","81.7128","80.5657"
"2014/04/24","81.1100","189588407.0000","81.1728","81.4285","80.1043"
"2014/04/23","74.9643","93473618.0000","75.5800","75.8757","74.9214"
"2014/04/22","75.9570","50607747.0000","75.4728","75.9751","75.2144"
"2014/04/21","75.8814","45546494.0000","75.0485","76.0200","74.8514"
"2014/04/17","74.9914","70978621.0000","74.2857","75.3943","74.1714"
"2014/04/16","74.1443","52515794.0000","74.0071","74.4414","73.4479"
"2014/04/15","73.9942","66461884.0000","74.3243","74.5200","73.0471"
"2014/04/14","74.5257","51252748.0000","74.5571","74.5943","73.8871"
"2014/04/11","74.2300","67920698.0000","74.1428","74.6900","73.8771"
"2014/04/10","74.7828","59701814.0000","75.8114","76.0343","74.7385"
"2014/04/09","75.7600","51357706.0000","74.6628","75.7843","74.5743"
"2014/04/08","74.7771","60880929.0000","75.0271","75.1600","74.1000"
"2014/04/07","74.7814","72146992.0000","75.4314","75.8428","74.5557"
"2014/04/04","75.9743","68615246.0000","77.1157","77.1428","75.7971"
"2014/04/03","76.9700","40472773.0000","77.3414","77.5000","76.8057"
"2014/04/02","77.5071","44803807.0000","77.4828","77.6400","77.1800"
"2014/04/01","77.3785","50069657.0000","76.8228","77.4100","76.6814"
"2014/03/31","76.6771","41787976.0000","77.0328","77.2585","76.5614"
"2014/03/28","76.6943","49703046.0000","76.9028","76.9914","76.3214"
"2014/03/27","76.7800","55330425.0000","77.1450","77.3571","76.4457"
"2014/03/26","77.1114","74394902.0000","78.0743","78.4285","76.9800"
"2014/03/25","77.8557","70284361.0000","77.3571","77.9643","77.0843"
"2014/03/24","77.0271","88674487.0000","76.9171","77.2143","76.4371"
"2014/03/21","76.1243","93431688.0000","75.9900","76.2500","75.1900"
"2014/03/20","75.5285","52017415.0000","75.6985","76.0957","75.3357"
